ss,Country,Code,Year,Mismanaged Plastic,GDP,Population
93,Maldives,A93,2004,7330.898392304362,1226829562.5,302135.0
93,Maldives,A93,2005,7661.221079000263,1163362437.5,307018.0
93,Maldives,A93,2006,8086.225987620587,1575200390.625,314401.0
93,Maldives,A93,2007,8530.777414498307,1868383460.9375,325126.0
93,Maldives,A93,2008,8646.034338610805,2271646187.5,336883.0
93,Maldives,A93,2009,8952.158970434582,2345294875.0,349037.0
93,Maldives,A93,2010,9474.631176891155,2588176054.6875,361575.0
93,Maldives,A93,2011,9842.486577934671,2774350163.34773,374440.0
93,Maldives,A93,2012,10155.705914612301,2886163937.77963,387539.0
93,Maldives,A93,2013,10511.018999286513,3295009231.00739,400728.0
93,Maldives,A93,2014,10793.82231550754,3697353155.04883,416738.0
93,Maldives,A93,2015,11248.333919699531,4109416450.22514,435582.0
93,Maldives,A93,2016,11539.40782999204,4379134272.943,454252.0
93,Maldives,A93,2017,11867.081624747492,4754185598.8417,472442.0
93,Maldives,A93,2018,12234.369795547489,5300949822.99805,489758.0
93,Maldives,A93,2019,12488.680855400175,5609385433.592,504508.0
94,Malta,A94,2000,4429.127335279944,4323339212.2281,390087.0
94,Malta,A94,2001,4642.253206917129,4355146427.54937,393028.0
94,Malta,A94,2002,4929.414859310479,4693495693.49569,395969.0
94,Malta,A94,2003,5196.33700526831,5489359280.75566,398582.0
94,Malta,A94,2004,5502.677638235228,6116591928.25112,401268.0
94,Malta,A94,2005,5750.622591802094,6407287650.7897,403834.0
94,Malta,A94,2006,6069.637381211846,6778321415.12985,405308.0
94,Malta,A94,2007,6403.324068002312,7925403777.71694,406724.0
94,Malta,A94,2008,6489.837570853666,9090376446.46258,409379.0
94,Malta,A94,2009,6719.619116839627,8696304529.03584,412477.0
94,Malta,A94,2010,7111.794260078011,9035819656.6669,414508.0
94,Malta,A94,2011,7387.9118081743145,9638733344.35806,416268.0
94,Malta,A94,2012,7623.018741535738,9461826174.02344,420028.0
94,Malta,A94,2013,7889.721846800655,10550968138.9413,425967.0
94,Malta,A94,2014,8101.998078295258,11625843213.6076,434558.0
94,Malta,A94,2015,8443.161017251165,11091467513.7109,445053.0
94,Malta,A94,2016,8661.645275459088,11667976402.763,455356.0
94,Malta,A94,2017,8907.601932685344,13489296992.0001,467999.0
94,Malta,A94,2018,9183.293709612859,15298004130.4975,484630.0
94,Malta,A94,2019,9374.183244199274,15881258056.2009,504062.0
95,Marshall Islands,A95,2000,502.59795008242014,115347500,54224.0
95,Marshall Islands,A95,2001,526.7825395253894,122824000.0,54413.0
95,Marshall Islands,A95,2002,559.3683847517282,131738200.0,54496.0
